collision_id,crash_datetime,borough,zip_code,latitude,longitude,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_two-wheel_veh,number_of_normal_veh,number_of_large_veh,number_of_unknown_veh,total_number_of_vehicles,contributing_factors
3655611,2017-04-23 03:00:00,,,40.906555,-73.88658,HENRY HUDSON PARKWAY,,,0,0,0,0,0,0,0,0,0,1,0,0,1,['Driver Inattention/Distraction' 'Unspecified']
3654369,2017-04-19 19:55:00,,,40.627052,-74.16485,,,2239      FOREST AVENUE,0,0,0,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3666887,2017-05-08 20:30:00,MANHATTAN,10003,40.72986,-73.99523,,,244       GREENE STREET,0,0,0,0,0,0,0,0,0,0,0,1,1,['Pavement Defective']
3659126,2017-04-28 17:40:00,QUEENS,11432,40.712345,-73.785126,,,178-25    HILLSIDE AVENUE,0,0,0,0,0,0,0,0,0,0,0,2,2,['Unspecified']
3653186,2017-04-18 06:20:00,BROOKLYN,11216,40.68064,-73.95338,BEDFORD AVENUE,FULTON STREET,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Turning Improperly' 'Unspecified']
3656636,2017-04-20 17:15:00,,,40.76241,-73.95443,FDR DRIVE,,,0,0,0,0,0,0,0,0,0,1,1,2,4,['Driver Inattention/Distraction' 'Unspecified']
3666981,2017-05-08 10:14:00,,,40.683647,-73.87219,FULTON STREET,,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Turning Improperly' 'Unspecified']
3662692,2017-05-03 13:45:00,QUEENS,11435,40.704403,-73.814445,139 STREET,HILLSIDE AVENUE,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Aggressive Driving/Road Rage' 'Unspecified']
3662199,2017-05-02 17:00:00,QUEENS,11385,40.7056,-73.85822,WOODHAVEN BOULEVARD,UNION TURNPIKE,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Passing or Lane Usage Improper' 'Unspecified']
3655228,2017-04-22 13:30:00,,,40.62381,-74.144165,WILLOWBROOK ROAD,RIEGELMAN STREET,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Failure to Yield Right-of-Way' 'Unspecified']
3666592,2017-05-09 15:43:00,QUEENS,11421,40.68775,-73.857414,85 STREET,91 AVENUE,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Unsafe Speed' 'Failure to Yield Right-of-Way']
3654230,2017-04-19 00:00:00,MANHATTAN,10019,40.76399,-73.97853,,,120       WEST 56 STREET,0,0,0,0,0,0,0,0,0,0,1,1,2,['Driver Inattention/Distraction' 'Unspecified']
3666659,2017-05-09 20:40:00,,,40.633564,-74.01595,7 AVENUE,66 STREET,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Passing or Lane Usage Improper' 'Unspecified']
4352663,2020-09-26 23:00:00,,,,,,,67        EAST DRIVE,1,0,0,0,1,0,0,0,1,0,0,0,1,['Unspecified']
3654513,2017-04-20 15:00:00,MANHATTAN,10035,40.80075,-73.94428,,,1783      MADISON AVENUE,1,0,0,0,0,0,1,0,0,1,0,0,1,['Backing Unsafely']
3663246,2017-05-04 10:27:00,,,,,HORACE HARDING EXPRESSWAY,JUNCTION BOULEVARD,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Driver Inattention/Distraction' 'Unsafe Lane Changing']
3667656,2017-05-09 17:00:00,,,40.68324,-73.9439,HANCOCK STREET,,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Unspecified']
3662369,2017-05-03 10:45:00,,,,,JUNCTION BOULEVARD,,,1,0,1,0,0,0,0,0,0,1,0,0,1,['Failure to Yield Right-of-Way']
3664153,2017-05-06 18:30:00,BROOKLYN,11204,40.61483,-73.99838,BAY RIDGE PARKWAY,17 AVENUE,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Failure to Yield Right-of-Way' 'Unspecified']
3659304,2017-04-29 01:15:00,,,40.728855,-73.92782,BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,0,1,1,0,2,['Driver Inattention/Distraction']
3655289,2017-04-22 15:28:00,QUEENS,11423,40.71226,-73.768456,,,91-19     191 STREET,0,0,0,0,0,0,0,0,0,1,1,0,2,['Backing Unsafely' 'Unspecified']
3655720,2017-04-23 11:00:00,,,,,443 LIGHT HOUSE AVENUE,SAINT GEORGE ROAD,,1,0,0,0,1,0,0,0,1,0,0,0,1,['Pedestrian/Bicyclist/Other Pedestrian Error/Confusion']
3651231,2017-04-15 10:45:00,,,,,WHITESTONE EXPRESSWAY,20 AVENUE,,0,0,0,0,0,0,0,0,0,1,1,0,2,['Oversized Vehicle' 'Unspecified']
3651398,2017-04-15 16:30:00,MANHATTAN,10016,40.74901,-73.98384,,,1         EAST 35 STREET,1,0,0,0,0,0,1,0,0,1,0,1,2,['Backing Unsafely' 'Driver Inattention/Distraction']
3664611,2017-05-07 08:15:00,QUEENS,11434,40.6824,-73.76965,,,173-35    VASWANI AVENUE,0,0,0,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3658051,2017-04-26 00:00:00,QUEENS,11412,40.69572,-73.75377,199 STREET,116 AVENUE,,0,0,0,0,0,0,0,0,0,0,0,1,1,['Unspecified']
3659439,2017-04-28 16:45:00,BROOKLYN,11206,40.706852,-73.948204,MONTROSE AVENUE,LORIMER STREET,,1,0,1,0,0,0,0,0,0,0,0,1,1,['Failure to Yield Right-of-Way']
