tree_id,created_at,block_id,tree_dbh,stump_diam,is_OnCurb,health,spc_common,steward,guards,sidewalk_damaged,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,latitude,longitude,is_dead,is_stump
196501,2015-09-02,210467,3,0,0,2.0,swamp white oak,0.0,None,1.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,2024 STUART STREET,11229,Brooklyn,318,3,Brooklyn,46,59,22,BK44,Madison,3066600,40.60503697152363,-73.93726273790163,0,0
181089,2015-08-27,226316,4,0,1,2.0,swamp white oak,1.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,735 WASHINGTON AVENUE,11238,Brooklyn,308,3,Brooklyn,35,57,20,BK64,Prospect Heights,3021500,40.67491391240436,-73.96310905389937,0,0
171240,2015-08-24,223259,15,0,1,2.0,swamp white oak,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,370 5 AVENUE,11215,Brooklyn,306,3,Brooklyn,39,52,20,BK37,Park Slope-Gowanus,3013700,40.671424389798254,-73.98453426613013,0,0
169625,2015-08-23,312402,12,0,1,2.0,sweetgum,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,36-035 UNION STREET,11354,Flushing,407,4,Queens,20,40,16,QN22,Flushing,4086500,40.762805703187546,-73.82758363775602,0,0
197201,2015-09-02,212085,3,0,1,2.0,sweetgum,1.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,2819 FILLMORE AVENUE,11229,Brooklyn,318,3,Brooklyn,46,59,22,BK44,Madison,3063800,40.6079681151749,-73.93855748059504,0,0
171147,2015-08-24,349991,8,0,1,1.0,Sophora,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,214 BEACH 26 STREET,11691,Far Rockaway,414,4,Queens,31,23,10,QN15,Far Rockaway-Bayswater,4099802,40.59577276177435,-73.75920636656537,0,0
174230,2015-08-25,217278,11,0,1,2.0,Sophora,0.0,None,0.0,Volunteer,Stones,1,0,0,0,0,0,0,0,0,153 MANHATTAN AVENUE,11206,Brooklyn,301,3,Brooklyn,34,53,18,BK90,East Williamsburg,3050500,40.70809553514362,-73.94510025596996,0,0
174298,2015-08-25,217297,11,0,1,2.0,Sophora,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,162 MANHATTAN AVENUE,11206,Brooklyn,301,3,Brooklyn,34,53,18,BK90,East Williamsburg,3050500,40.70838163730728,-73.94502062832778,0,0
183790,2015-08-29,410517,12,0,1,2.0,sweetgum,1.0,None,0.0,TreesCount Staff,"Stones,BranchLights",1,0,0,0,0,0,1,0,0,97 ALLEN PLACE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5017600,40.52602882211185,-74.16740145727712,0,0
178373,2015-08-26,412004,13,0,1,2.0,sweetgum,0.0,None,1.0,TreesCount Staff,"Stones,RootOther",1,0,1,0,0,0,0,0,0,45 BLUEBERRY LANE,10312,Staten Island,503,5,Staten Island,51,62,24,SI54,Great Kills,5015603,40.52906867308866,-74.15956330365482,0,0
162006,2015-08-20,218071,5,0,1,2.0,Sophora,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,51 OLIVE STREET,11211,Brooklyn,301,3,Brooklyn,34,53,18,BK90,East Williamsburg,3048100,40.71431738528611,-73.93882397764779,0,0
